0.000000 1.000000 0.500000
0.333333 1.083333 0.466667
0.666667 1.161111 0.430556
1.000000 1.232870 0.391852
1.333333 1.298179 0.350756
1.666667 1.356638 0.307484
2.000000 1.407886 0.262262
2.333333 1.451596 0.215333
2.666667 1.487485 0.166946
3.000000 1.515309 0.117363
3.333333 1.534870 0.066853
3.666667 1.546012 0.015691
4.000000 1.548627 -0.035843
4.333333 1.542653 -0.087464
4.666667 1.528076 -0.138886
5.000000 1.504928 -0.189822
5.333333 1.473291 -0.239986
5.666667 1.433294 -0.289096
6.000000 1.385111 -0.336872
6.333333 1.328966 -0.383042
6.666667 1.265125 -0.427341
7.000000 1.193902 -0.469512
7.333333 1.115650 -0.509309
7.666667 1.030765 -0.546497
8.000000 0.939682 -0.580856
8.333333 0.842873 -0.612179
8.666667 0.740843 -0.640274
9.000000 0.634131 -0.664969
9.333333 0.523303 -0.686107
9.666667 0.408951 -0.703550
10.000000 0.291693 -0.717182
10.333333 0.172163 -0.726905
10.666667 0.051012 -0.732644
11.000000 -0.071096 -0.734344
11.333333 -0.193486 -0.731974
11.666667 -0.315482 -0.725525
12.000000 -0.436403 -0.715009
12.333333 -0.555571 -0.700462
12.666667 -0.672315 -0.681943
13.000000 -0.785972 -0.659533
13.333333 -0.895894 -0.633333
13.666667 -1.001449 -0.603470
14.000000 -1.102028 -0.570089
14.333333 -1.197043 -0.533354
14.666667 -1.285935 -0.493453
15.000000 -1.368177 -0.450589
15.333333 -1.443275 -0.404983
15.666667 -1.510772 -0.356873
16.000000 -1.570251 -0.306514
16.333333 -1.621337 -0.254173
16.666667 -1.663699 -0.200128
17.000000 -1.697054 -0.144671
17.333333 -1.721166 -0.088103
17.666667 -1.735850 -0.030731
18.000000 -1.740971 0.027131
18.333333 -1.736450 0.085163
18.666667 -1.722256 0.143045
19.000000 -1.698415 0.200453
19.333333 -1.665006 0.257067
19.666667 -1.622161 0.312567
20.000000 -1.570067 0.366639
20.333333 -1.508960 0.418975
20.666667 -1.439131 0.469274
21.000000 -1.360919 0.517245
21.333333 -1.274711 0.562609
21.666667 -1.180943 0.605099
22.000000 -1.080093 0.644464
22.333333 -0.972683 0.680467
22.666667 -0.859272 0.712890
23.000000 -0.740457 0.741532
23.333333 -0.616868 0.766214
23.666667 -0.489166 0.786776
24.000000 -0.358036 0.803082
24.333333 -0.224189 0.815016
24.666667 -0.088353 0.822489
25.000000 0.048728 0.825434
25.333333 0.186301 0.823810
25.666667 0.323602 0.817600
26.000000 0.459869 0.806813
26.333333 0.594338 0.791484
26.666667 0.726252 0.771673
27.000000 0.854864 0.747465
27.333333 0.979442 0.718969
27.666667 1.099270 0.686321
28.000000 1.213657 0.649679
28.333333 1.321937 0.609224
28.666667 1.423474 0.565159
29.000000 1.517667 0.517710
29.333333 1.603952 0.467121
29.666667 1.681806 0.413656
30.000000 1.750748 0.357596
30.333333 1.810348 0.299238
30.666667 1.860220 0.238893
31.000000 1.900036 0.176885
31.333333 1.929517 0.113551
31.666667 1.948442 0.049233
32.000000 1.956647 -0.015715
32.333333 1.954028 -0.080936
32.666667 1.940539 -0.146070
33.000000 1.916194 -0.210755
